ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,False,,0,[],[],0,[0],0.0,[],[],0,,,,,,1,2,,
1,False,,0,[],[],0,[1],0.0,[],[],,0,,,,,,,,
2,False,,0,[],[],0,[2],0.0,[],[],,,0,,,,,,,
3,False,,0,[],[],0,[3],0.0,[],[],2,,,0,,,2,1,,
4,False,,0,[],[],0,[4],0.0,[],[],,,,,0,,,,,
5,False,,0,[],[],0,[5],0.0,[],[],,,,,,0,,,1,
6,False,,0,[],[],0,[6],0.0,[],[],1,,,,,,0,2,,
7,False,,0,[],[],0,[7],0.0,[],[],2,,,1,,,2,0,,
8,False,,0,[],[],0,[8],0.0,[],[],,,,,,1,,,0,
9,False,,0,[],[],0,[9],0.0,[],[],,,,,,,,,,0
10,False,,0,[],"[0, 6]",1,[0],0.19998000199980004,[2],[1],1,,,,,,2,2,,
11,False,,0,[],"[6, 0]",1,[6],0.181801654395055,[],[],,,,,,,1,2,,
12,False,,0,[],"[3, 7]",1,[3],0.16665277893508876,[],[],,,,1,,,,,,
13,False,,0,[],"[7, 3]",1,[7],0.15383432043688947,[1],[1],2,,,,,,2,1,,
14,False,,0,[],"[5, 8]",1,[5],0.14284693950432112,[],[],,,,,,1,,,,
15,False,,0,[],"[8, 5]",1,[8],0.13332444503699753,[],[],,,,,,,,,1,
16,False,,0,[],"[10, 13]",2,[0],0.37497656396475215,[],[],2,,,,,,,,,
17,False,,0,[],"[13, 10]",2,[7],0.3529204164460914,[],[],,,,,,,2,2,,
18,False,,0,[],"[11, 17]",2,[6],0.4444197544580856,[],[],,,,,,,2,,,
19,False,,0,[],"[17, 11]",2,[7],0.4210304720804168,[],[],,,,,,,,2,,
