ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,50,46,80,56
1,False,,0,[],[],0,[1],0.0,[],[],46,0,14,23,22
2,False,,0,[],[],0,[2],0.0,[],[],46,14,0,23,22
3,False,,0,[],[],0,[3],0.0,[],[],46,27,23,0,56
4,False,,0,[],[],0,[4],0.0,[],[],46,22,32,27,0
5,False,,0,[],"[1, 2]",14,[1],0.3999200159968006,[5],[4],46,14,32,27,22
6,False,,0,[],"[2, 1]",14,[2],0.33327778703549404,"[2, 8, 12, 13]","[1, 9, 12, 13]",46,27,14,23,56
7,False,,0,[],"[5, 4]",22,[1],0.571346950435652,[18],[21],46,22,32,27,56
8,False,,0,[],"[4, 5]",22,[4],0.4999375078115236,"[4, 7, 9, 11, 19]","[3, 7, 9, 12, 22]",69,82,56,80,22
9,False,,0,[],"[6, 3]",23,[2],0.44439506721475397,[],[],46,32,23,80,56
10,False,,0,[],"[3, 6]",23,[3],0.3999600039996001,"[1, 3, 10, 16]","[1, 3, 10, 20]",46,27,32,23,56
11,False,,0,[],"[7, 10]",27,[1],0.72720661758022,"[22, 23, 24]","[25, 25, 25]",46,27,32,80,56
12,False,,0,[],"[10, 7]",27,[3],0.666611115740355,[25],[26],80,128,107,27,140
13,False,,0,[],"[11, 9]",32,[1],0.7691716021844474,"[29, 33]","[28, 31]",50,32,69,80,82
14,False,,0,[],"[9, 11]",32,[2],0.7142346975216056,"[20, 26, 28, 31, 35, 36]","[24, 26, 27, 29, 31, 32]",46,50,32,80,56
15,False,,1,[],"[0, 14]",46,[0],0.7999466702219852,"[6, 14, 15, 17, 27, 30, 37, 43, 45]","[7, 18, 19, 21, 27, 28, 33, 39, 42]",46,50,69,80,82
16,False,,0,[],"[14, 0]",46,[2],0.7499531279295043,"[39, 44]","[34, 40]",69,82,46,80,56
17,False,,0,[],"[15, 13]",50,[0],0.8234809717075465,"[53, 54]","[49, 50]",50,94,69,80,140
18,False,,0,[],"[13, 15]",50,[1],0.7777345703016498,"[41, 42, 50]","[36, 39, 44]",107,50,94,145,82
19,False,,0,[],"[16, 8]",56,[2],0.7368033261407294,[55],[52],69,94,56,80,140
20,False,,0,[],"[8, 16]",56,[4],0.6999650017499125,"[21, 32, 40, 47, 51]","[25, 29, 35, 42, 47]",107,82,94,145,56
21,False,,1,[],"[17, 19]",69,[0],0.8571020427598686,"[56, 57, 66, 68, 70]","[53, 55, 67, 68, 69]",69,128,107,80,140
22,False,,1,[],"[19, 17]",69,[2],0.8181446297895549,"[60, 61, 62, 64]","[58, 58, 62, 64]",107,94,69,145,140
23,False,,0,[],"[21, 12]",80,[0],0.8695274118516586,"[75, 76, 77]","[74, 74, 76]",80,128,107,145,140
24,False,,0,[],"[12, 21]",80,[3],0.83329861255781,"[34, 38, 46, 48, 49, 52, 58, 67, 69, 73, 78, 81]","[31, 33, 42, 44, 44, 47, 55, 67, 69, 72, 77, 80]",202,180,145,80,
25,False,,1,[],"[18, 20]",82,[1],0.7199712011519539,[59],[55],107,82,94,145,140
26,False,,1,[],"[20, 18]",82,[4],0.6922810661128418,"[63, 65, 71, 72, 74, 79, 80]","[63, 64, 71, 72, 73, 79, 80]",174,165,140,145,82
27,False,,1,[],"[25, 22]",94,[1],0.8147846376060146,"[86, 88, 90]","[90, 93, 94]",128,94,128,145,140
28,False,,1,[],"[22, 25]",94,[2],0.7856862254919467,[82],[80],107,128,94,145,140
29,False,,1,[],"[23, 28]",107,[0],0.8965208096272542,"[83, 85, 96, 99]","[83, 90, 101, 101]",107,128,128,145,140
30,False,,1,[],"[28, 23]",107,[2],0.8666377787407086,"[93, 94, 100, 103, 105]","[100, 101, 103, 107, 107]",129,128,107,145,140
31,False,,1,[],"[29, 27]",128,[0],0.9031966710751266,"[106, 119, 122, 126, 131]","[108, 121, 121, 124, 128]",128,162,129,145,140
32,False,,1,[],"[27, 29]",128,[1],0.8749726571044656,"[92, 101, 108, 112, 113, 118, 120, 121, 128, 130]","[97, 104, 112, 116, 117, 121, 121, 121, 127, 128]",129,128,128,145,140
33,False,,1,[],"[32, 30]",128,[1],0.9090633617163117,[],[],162,128,202,180,165
