ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9
0,False,,0,[],[],0,[0],0.0,[],[],0,48,44,36,54,45,11,39,61
1,False,,0,[],[],0,[1],0.0,[],[],36,0,14,23,26,45,36,30,61
2,False,,0,[],[],0,[2],0.0,[],[],36,14,0,23,26,45,36,27,12
3,False,,0,[],[],0,[3],0.0,[],[],36,48,23,0,26,45,36,39,61
4,False,,0,[],[],0,[4],0.0,[],[],36,48,39,26,0,14,36,39,61
5,False,,0,[],[],0,[5],0.0,[],[],36,48,39,26,14,0,36,39,61
6,False,,0,[],[],0,[6],0.0,[],[],11,48,44,36,54,45,0,39,61
7,False,,0,[],[],0,[7],0.0,[],[],39,30,44,39,54,45,39,0,27
8,False,,0,[],[],0,[8],0.0,[],[],36,14,12,23,26,45,36,27,0
9,False,,0,[],"[0, 6]",11,[0],0.22219753360737698,[],[],11,48,44,36,54,45,27,39,61
10,False,,0,[],"[6, 0]",11,[6],0.19998000199980004,"[2, 11]","[1, 11]",27,48,44,36,54,45,11,39,61
11,False,,0,[],"[2, 8]",12,[2],0.181801654395055,"[1, 7]","[1, 5]",36,14,12,23,26,45,36,30,61
12,False,,0,[],"[8, 2]",12,[8],0.16665277893508876,[10],[10],39,30,44,39,54,45,39,27,12
13,False,,0,[],"[1, 11]",14,[1],0.30766864087377893,[],[],39,14,44,39,54,45,39,30,61
14,False,,0,[],"[11, 1]",14,[2],0.28569387900864224,[],[],36,48,14,23,26,45,36,39,61
15,False,,0,[],"[4, 5]",14,[4],0.13332444503699753,[3],[2],36,48,39,26,14,45,36,39,61
16,False,,0,[],"[5, 4]",14,[5],0.12499218798825072,[8],[7],45,53,45,62,56,14,45,,61
17,False,,0,[],"[14, 3]",23,[2],0.3529204164460914,[],[],46,53,23,62,39,45,45,44,61
18,False,,0,[],"[3, 14]",23,[3],0.3333148158435642,"[4, 5, 6, 9, 12, 22]","[4, 4, 5, 10, 12, 23]",36,48,39,23,26,45,36,39,61
19,False,,0,[],"[18, 15]",26,[3],0.526288090100521,[],[],36,48,44,26,54,45,36,39,61
20,False,,0,[],"[15, 18]",26,[4],0.4999750012499375,"[14, 18, 21]","[16, 20, 23]",46,53,39,62,26,45,45,44,61
21,False,,0,[],"[9, 10]",27,[0],0.19046712061330412,[23],[23],27,48,44,36,54,45,36,39,61
22,False,,0,[],"[10, 9]",27,[6],0.1818099177310122,"[17, 19, 26]","[17, 21, 27]",43,48,44,36,54,45,27,39,61
23,False,,0,[],"[7, 12]",27,[7],0.1739054823703317,[15],[16],39,30,44,39,54,45,39,27,61
24,False,,0,[],"[12, 7]",27,[8],0.166659722511562,"[13, 24]","[13, 25]",68,64,,80,61,68,,,27
25,False,,0,[],"[13, 23]",30,[1],0.3199872005119795,[25],[25],71,30,53,48,64,71,,,71
26,False,,0,[],"[23, 13]",30,[7],0.3076804738279297,[],[],39,48,44,39,54,45,39,30,61
27,False,,0,[],"[21, 19]",36,[0],0.592570645531647,[31],[32],36,48,44,39,54,45,39,39,61
28,False,,0,[],"[19, 21]",36,[3],0.5714081639941431,[],[],43,48,44,36,54,45,36,39,61
29,False,,0,[],"[28, 22]",36,[3],0.6206682528188683,[],[],43,48,44,36,54,45,39,39,61
30,False,,0,[],"[22, 28]",36,[6],0.5999800006666445,[34],[34],43,53,44,62,54,45,36,39,61
31,False,,0,[],"[27, 26]",39,[0],0.7096545272733137,[37],[37],39,53,45,62,56,45,43,,61
32,False,,0,[],"[26, 27]",39,[7],0.6874785162963658,[],[],43,48,44,39,54,45,39,39,61
33,False,,0,[],"[17, 20]",39,[2],0.3636253446865247,"[27, 30, 36]","[28, 31, 35]",46,53,39,62,54,45,45,44,61
34,False,,0,[],"[20, 17]",39,[4],0.35293079615305434,"[33, 38, 39]","[33, 38, 38]",57,64,,80,39,56,,54,61
35,False,,0,[],"[29, 32]",39,[3],0.7428359189737437,[],[],71,48,53,39,64,71,,,71
36,False,,0,[],"[32, 29]",39,[7],0.7222021610510819,[],[],43,53,44,62,54,45,39,39,61
37,False,,0,[],"[30, 36]",39,[6],0.7567363044242048,[],[],43,53,45,62,56,45,39,,61
38,False,,0,[],"[36, 30]",39,[7],0.7368227151917055,[],[],46,53,44,62,54,45,45,39,61
39,False,,0,[],"[31, 37]",43,[0],0.7692110458706187,[41],[40],43,53,45,62,56,45,45,,61
40,False,,0,[],"[37, 31]",43,[6],0.7499812504687383,[],[],57,53,46,62,56,45,43,,61
41,False,,1,[],"[33, 38]",44,[2],0.7804687690544133,[42],[40],46,53,44,62,56,45,45,,61
42,False,,1,[],"[38, 33]",44,[7],0.7618866217471013,"[40, 43, 44, 46, 47]","[40, 41, 43, 44, 44]",57,64,,80,54,56,,44,61
43,False,,0,[],"[39, 16]",45,[0],0.7441687402618544,[],[],45,53,46,62,57,61,46,,61
44,False,,0,[],"[16, 39]",45,[5],0.7272561987227564,"[16, 20, 28]","[16, 22, 28]",46,53,45,62,56,45,45,,61
45,False,,1,[],"[41, 44]",45,[2],0.8444256794293461,[],[],46,53,45,62,57,61,46,,61
46,False,,1,[],"[44, 41]",45,[5],0.8260689985000327,[],[],57,53,46,62,56,45,45,,61
47,False,,1,[],"[46, 40]",45,[5],0.8510457224314377,[],[],57,64,,80,56,45,,,61
48,False,,1,[],"[40, 46]",45,[6],0.8333159725839046,[],[],71,53,46,62,64,71,45,,71
49,False,,1,[],"[43, 45]",46,[0],0.8163098712271178,[],[],46,64,,80,57,61,,,61
50,False,,1,[],"[45, 43]",46,[2],0.7999840003199936,"[48, 49]","[46, 46]",71,53,46,62,64,71,46,,71
