ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6
0,False,,0,[],[],0,[0],0.0,[],[],0,61,57,36,51,51
1,False,,0,[],[],0,[1],0.0,[],[],61,0,69,72,72,77
2,False,,0,[],[],0,[2],0.0,[],[],57,61,0,51,44,43
3,False,,0,[],[],0,[3],0.0,[],[],36,61,57,0,51,51
4,False,,0,[],[],0,[4],0.0,[],[],57,61,43,51,0,19
5,False,,0,[],[],0,[5],0.0,[],[],57,61,43,51,19,0
6,False,,0,[],"[4, 5]",19,[4],0.33327778703549404,"[1, 2, 7, 11, 14, 20]","[3, 3, 6, 8, 9, 13]",57,61,43,51,19,35
7,False,,0,[],"[5, 4]",19,[5],0.285673475217826,"[10, 13, 17, 23]","[8, 9, 12, 18]",57,61,43,51,35,19
8,False,,0,[],"[6, 7]",35,[4],0.4999375078115236,[38],[33],57,61,44,51,35,51
9,False,,0,[],"[7, 6]",35,[5],0.44439506721475397,"[27, 36, 37]","[24, 32, 33]",57,61,43,51,44,35
10,False,,0,[],"[0, 3]",36,[0],0.19998000199980004,"[3, 5, 6, 8, 12, 18, 30]","[3, 4, 5, 6, 9, 12, 26]",36,61,57,72,72,77
11,False,,0,[],"[3, 0]",36,[3],0.181801654395055,"[9, 15, 19, 25, 33, 39]","[7, 10, 13, 20, 30, 35]",91,82,72,36,51,51
12,False,,0,[],"[2, 9]",43,[2],0.49995833680526625,"[21, 22, 29, 32, 34, 41, 47]","[16, 18, 25, 29, 32, 37, 42]",57,61,43,51,44,51
13,False,,0,[],"[9, 2]",43,[5],0.4615029613106684,"[44, 46]","[40, 41]",91,82,72,51,51,43
14,False,,0,[],"[12, 8]",44,[2],0.5713877580172845,[50],[44],57,61,44,72,72,77
15,False,,0,[],"[8, 12]",44,[4],0.5332977801479901,"[40, 43]","[36, 40]",91,82,72,51,44,51
