ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0
1,False,,0,[],[],9,[1],0.0,[6],[7],32,9,14,9,38
2,False,,0,[],[],9,[3],0.0,[2],[1],32,9,14,9,38
3,False,,0,[],[],14,[2],0.0,[9],[9],32,14,14,23,38
4,False,,1,[],[2],23,[3],0.2499375156210947,[17],[21],46,,23,23,62
5,False,,0,[],[],32,[0],0.0,"[0, 1, 18, 31]","[1, 1, 21, 29]",32,32,46,62,38
6,False,,1,[],[1],32,[1],0.16663889351774702,"[3, 11, 15, 16, 19, 23, 36]","[3, 12, 19, 20, 22, 25, 32]",32,32,46,62,38
7,False,,2,[],[6],33,[1],0.285673475217826,[37],[33],33,33,46,62,38
8,False,,0,[],[],38,[4],0.0,"[7, 8, 29]","[7, 9, 28]",,38,,62,38
9,False,,3,[],[7],39,[1],0.33329630041106545,"[5, 20]","[4, 24]",,39,,62,39
10,False,,1,[],[8],39,[4],0.09999000099990002,[40],[35],,39,,62,39
11,False,,1,[],[5],46,[0],0.0909008271975275,"[39, 41]","[34, 36]",46,,46,,
12,False,,1,[],[3],46,[2],0.08332638946754438,"[10, 13, 26, 34, 38, 45, 47]","[10, 13, 26, 31, 33, 42, 42]",46,,46,,
13,False,,2,[],[12],53,[2],0.15383432043688947,"[54, 55]","[50, 52]",53,,53,,
14,False,,4,[],[9],59,[1],0.28569387900864224,[57],[55],,59,,62,59
15,False,,2,[],[10],59,[4],0.13332444503699753,[53],[49],,59,,62,59
16,False,,2,[],[4],62,[3],0.12499218798825072,"[12, 28, 43, 50]","[12, 27, 39, 44]",,,,62,62
17,False,,3,[],[15],62,[4],0.1764602082230457,[44],[40],,,,62,62
18,False,,3,[],[13],64,[2],0.1666574079217821,"[62, 65]","[62, 64]",64,,64,,
