ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
0,True,46,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,True,46,1,[],[],1,"[0, 6, 19, 20, 24, 42]",0.0,[],[],1,9,7,7,13,7,1,2,7,10,7,7,13,12,7,7,7,9,19,1,1,9,7,13,1,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,1,10,4,13,13,7,16,2
1,True,46,1,[],[],1,"[2, 14, 26, 39, 46, 47]",0.0,[],[],23,9,1,5,13,7,23,26,7,15,7,7,18,17,1,7,7,9,20,7,7,9,7,13,7,19,1,5,5,13,5,10,5,25,15,20,5,23,10,1,13,10,7,10,13,13,1,1,11,26
1,True,46,1,[],[],1,"[3, 7, 18, 27, 28, 30, 32, 36, 49]",0.0,[],[],2,9,5,1,13,7,2,1,7,10,7,7,13,10,5,7,7,9,1,2,2,9,7,13,2,12,5,1,1,13,1,10,1,18,10,15,1,18,10,5,13,10,2,10,2,13,13,5,16,1
1,True,46,1,[],[],1,"[4, 12, 23, 25, 29, 40, 45]",0.0,[],[],12,18,18,23,1,17,12,13,20,19,20,14,1,2,13,14,20,17,10,20,25,17,14,1,25,1,18,18,17,1,18,17,17,10,19,2,19,10,17,13,1,17,17,17,18,1,18,18,21,13
1,True,46,1,[],[],1,"[5, 8, 10, 11, 15, 16, 22]",0.0,[43],[42],23,7,7,7,13,1,23,26,1,15,1,1,18,17,7,1,1,7,20,7,7,7,1,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[0, 1]",[],1,"[6, 19, 20, 24, 42]",0.0,[],[],2,9,7,7,13,7,1,2,7,10,7,7,13,12,7,7,7,9,19,1,1,9,7,13,1,15,7,7,7,13,7,10,7,19,10,15,7,19,10,7,13,10,1,10,4,13,13,7,16,2
1,True,46,1,"[0, 1]",[],1,"[7, 18, 27, 28, 30, 32, 36, 49]",0.0,[],[],2,9,5,2,13,7,2,1,7,10,7,7,13,10,5,7,7,9,1,2,2,9,7,13,2,12,5,1,1,13,1,10,1,18,10,15,1,18,10,5,13,10,2,10,2,13,13,5,16,1
1,True,46,1,"[0, 1]",[],1,"[8, 10, 11, 15, 16, 22]",0.0,[],[],23,7,7,7,13,2,23,26,1,15,1,1,18,17,7,1,1,7,20,7,7,7,1,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
1,True,46,1,"[1, 0, 1]",[],1,"[10, 11, 15, 16, 22]",0.0,[],[],23,7,7,7,13,2,23,26,2,15,1,1,18,17,7,1,1,7,20,7,7,7,1,13,7,19,7,7,7,13,7,10,7,25,15,20,7,23,10,7,13,10,7,10,13,13,11,7,4,26
