ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15
0,True,3,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,True,4,1,[],[0],1,"[5, 8, 10, 11]",0.9990009990009991,[99],[94],23,9,7,7,13,1,30,27,1,17,1,1,20,19,7
1,True,5,2,[],[1],2,"[5, 8, 10, 11]",1.9980019980019983,[99],[94],23,9,7,7,13,2,30,27,2,17,2,2,20,19,7
1,True,6,3,[0],[1],3,"[5, 8, 10, 11]",2.997002997002997,[99],[94],23,9,7,7,13,3,30,27,3,17,3,3,20,19,7
1,True,7,4,[1],[1],4,"[5, 8, 10, 11]",3.9960039960039966,[99],[94],23,9,7,7,13,4,30,27,4,17,4,4,20,19,7
1,True,7,5,[1],[1],5,"[5, 8, 10, 11]",4.9950049950049955,[99],[94],23,9,7,7,13,5,30,27,5,17,5,5,20,19,7
1,True,7,6,[1],[1],6,"[5, 8, 10, 11]",5.994005994005994,[99],[94],23,9,7,7,13,6,30,27,6,17,6,6,20,19,7
1,True,8,7,[1],[1],7,"[2, 3, 5, 8, 10, 11, 14]",6.993006993006993,[99],[94],23,9,7,7,13,7,30,27,7,17,7,7,20,19,7
1,True,8,8,[1],[1],7,"[3, 5, 8, 10, 11, 14]",7.992007992007993,[99],[94],23,9,12,7,13,7,30,27,7,17,7,7,20,19,7
1,True,9,9,[1],[1],7,"[5, 8, 10, 11]",8.991008991008991,[99],[94],23,9,12,8,14,7,30,27,7,17,7,7,20,19,14
1,True,10,10,[1],[1],8,"[3, 5, 8, 10, 11]",9.990009990009991,[99],[94],23,9,12,8,14,8,30,27,8,17,8,8,20,19,14
1,True,31,11,[1],[1],8,"[5, 8, 10, 11]",10.98901098901099,[99],[94],23,11,12,15,14,8,30,27,8,17,8,8,20,19,14
1,True,32,12,[1],[1],9,"[5, 8, 10, 11]",11.988011988011989,[99],[94],23,11,12,15,14,9,30,27,9,17,9,9,20,19,14
1,True,46,13,[1],[1],10,"[5, 8, 10, 11]",12.987012987012989,[99],[94],23,11,12,15,14,10,30,27,10,17,10,10,20,19,14
1,True,47,14,[1],[1],31,"[2, 3, 4, 12]",13.986013986013987,[99],[94],46,35,31,31,31,32,46,44,46,33,51,45,31,34,39
1,True,48,15,[1],[1],32,"[2, 3, 4, 12]",14.985014985014987,[99],[94],46,35,32,32,32,32,46,44,46,33,51,45,32,34,39
1,True,77,16,[1],[1],46,"[0, 6, 11, 12]",15.984015984015986,"[72, 78, 95, 98, 100]","[64, 70, 90, 94, 94]",46,69,67,65,54,61,46,49,58,54,66,46,46,48,48
1,True,90,17,[1],[1],47,"[0, 6, 11, 12]",16.983016983016984,"[72, 78, 95, 98, 100]","[64, 70, 90, 94, 94]",47,69,67,65,54,61,47,49,58,54,66,47,47,48,48
1,True,91,18,[1],[1],48,"[6, 11, 12, 13]",17.982017982017982,[93],[89],49,69,67,65,54,61,48,49,58,54,66,48,48,48,48
1,True,92,19,[1],[1],77,"[2, 8, 9, 10]",18.981018981018984,[99],[94],87,80,77,82,87,86,79,91,77,77,77,93,,,77
1,False,,20,[1],[1],90,"[4, 5, 6, 8]",19.980019980019982,[],[],,,92,92,90,90,90,94,90,,,,,,
1,False,,21,[1],[1],91,"[4, 5, 6, 8]",20.97902097902098,[],[],,,92,92,91,91,91,94,91,,,,,,
1,False,,22,[1],[1],92,"[2, 3, 5, 8]",21.97802197802198,[99],[94],,,92,92,92,92,93,94,92,,,,,,
