ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25
0,True,23,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,False,,1,[],[0],2,"[0, 6, 7, 19, 20, 24]",0.9990009990009991,[2],[2],2,9,7,7,17,9,2,2,12,17,12,16,23,12,23,16,12,9,23,2,2,9,7,17,2
2,True,25,1,[],[0],2,"[5, 8, 10, 11, 15, 16, 22]",0.49975012493753124,"[0, 1]","[1, 2]",23,9,7,7,17,2,43,35,2,17,2,2,23,19,7,2,2,9,23,7,7,9,2,17,7
3,True,19,2,[],[2],7,"[2, 3, 5, 8, 10, 11, 14, 15, 16, 19, 20, 22, 24]",0.6664445184938355,"[3, 6, 8, 9, 11]","[3, 3, 4, 5, 7]",23,9,7,7,17,7,43,35,7,17,7,7,23,19,7,7,7,9,23,7,7,9,7,17,7
4,True,25,3,[0],[3],9,"[1, 3, 17, 21]",0.7498125468632841,"[5, 7, 12]","[3, 4, 7]",35,9,14,9,17,11,43,35,39,19,23,35,23,19,32,32,23,9,25,11,11,9,32,17,11
5,True,23,4,[2],[4],12,"[1, 5, 17, 19, 20, 21, 24]",0.7998400319936012,[19],[12],35,12,14,25,17,12,43,35,39,19,23,35,23,19,32,32,23,12,25,12,12,12,32,17,12
6,True,32,5,[3],[5],16,"[5, 19, 20, 24]",0.8331944675887352,[20],[13],45,34,25,32,32,16,43,40,46,32,51,45,32,35,39,41,32,50,34,16,16,39,41,38,16
7,True,32,6,[4],[6],17,"[5, 19, 20, 24]",0.857020425653478,[21],[17],45,34,25,32,32,17,43,40,46,32,51,45,32,35,39,41,32,50,34,17,17,39,41,38,17
8,False,,3,[0],[3],17,"[8, 9, 10, 16]",0.3749531308586427,"[14, 17]","[9, 11]",35,19,32,25,22,32,43,35,17,17,17,35,23,19,39,41,17,38,34,32,32,19,41,22,32
9,False,,5,[3],[5],19,"[1, 9, 13, 21]",0.5554938340184424,[18],[12],35,19,32,25,22,32,43,35,39,19,23,35,23,19,39,41,23,38,34,32,32,19,41,22,32
10,True,41,7,[5],[7],23,"[5, 19, 20, 24]",0.6999300069993001,[28],[23],45,34,25,32,32,23,43,40,46,32,51,45,32,35,39,41,32,50,34,23,23,39,41,38,23
11,False,,3,[0],[3],23,"[11, 14, 15, 18, 22]",0.2727024815925825,"[13, 15, 18, 23]","[9, 10, 12, 18]",24,37,34,34,46,35,43,40,39,35,35,23,38,36,23,23,45,25,23,35,35,39,23,41,35
12,False,,4,[2],[11],25,"[0, 11, 15, 22]",0.3333055578701775,[29],[25],25,43,39,39,54,41,45,46,39,54,35,25,45,46,28,25,53,32,58,41,65,45,25,46,41
13,False,,6,[4],[9],25,"[4, 10, 12, 16]",0.4615029613106684,"[4, 10, 16, 22, 27]","[3, 5, 11, 17, 23]",35,34,32,32,25,32,43,35,39,35,25,35,25,25,39,41,25,38,34,35,32,25,41,38,32
14,True,35,8,[6],[10],32,"[2, 3, 4, 12]",0.5713877580172845,[25],[23],45,34,32,32,32,32,43,40,46,35,51,45,32,35,39,41,32,50,34,35,32,39,41,38,32
15,True,47,9,[7],[14],32,"[4, 5, 12, 16]",0.599960002666489,"[30, 32]","[25, 29]",45,34,33,33,32,32,43,40,46,35,51,45,32,35,39,41,32,50,34,35,32,39,41,38,32
16,True,47,10,[10],[15],32,"[5, 16, 20, 24]",0.6249609399412537,"[31, 36]","[26, 32]",45,34,49,49,33,32,43,40,47,35,51,45,38,35,41,43,32,50,35,35,32,39,43,38,32
17,True,49,11,[14],[16],35,"[5, 9, 13, 18, 19, 20, 24]",0.6470207634845009,"[33, 34]","[30, 31]",45,37,49,49,46,35,43,40,47,35,51,45,38,35,41,43,45,50,35,35,35,39,43,41,35
18,False,,10,[10],[15],41,"[2, 3, 15, 22]",0.555524693072607,"[34, 40]","[31, 40]",71,45,41,41,54,43,50,50,46,54,51,50,54,50,49,41,53,50,58,43,65,55,41,50,43
19,True,50,12,[15],[17],41,"[5, 14, 19, 24]",0.6315457081206252,[40],[40],71,43,49,49,54,41,49,46,47,54,51,49,54,46,41,43,53,50,58,41,65,45,43,46,41
20,False,,13,[16],[19],43,"[5, 15, 19, 22, 24]",0.6499675016249187,[44],[43],71,45,49,49,54,43,50,50,47,54,51,50,54,50,49,43,53,50,58,43,65,55,43,50,43
21,False,,14,[17],[20],44,"[15, 19, 22, 24]",0.6666349221465644,[46],[44],71,45,49,49,54,45,50,50,47,54,51,50,54,50,49,44,53,50,58,44,65,55,44,50,44
