ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,True,18,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0
1,True,23,1,[],[0],7,"[1, 2, 7, 8]",0.9990009990009991,"[0, 3, 5, 8, 12]","[1, 2, 3, 5, 7]",25,7,7,25,9,15,15,7,7,20
2,True,24,2,[],[1],17,"[1, 5, 6, 8]",0.9995002498750625,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 17, 18, 19, 20, 21, 24, 25]","[1, 2, 3, 4, 5, 7, 8, 8, 12, 12, 14, 14, 15, 15, 16, 17]",25,17,41,25,36,17,17,23,17,36
3,True,25,3,[0],[2],18,"[1, 5, 6, 8]",0.9996667777407531,"[29, 30]","[18, 18]",25,18,41,25,36,18,18,23,18,36
4,True,52,4,[1],[3],23,"[1, 5, 6, 7]",0.9997500624843788,[33],[20],25,23,41,30,36,23,23,23,49,36
5,True,59,5,[2],[4],24,"[1, 5, 6, 7]",0.9998000399920015,"[37, 38]","[24, 24]",25,24,41,30,36,24,24,24,49,36
6,True,105,6,[3],[5],25,"[0, 1, 5, 6]",0.9998333611064822,[31],[19],25,25,41,33,36,25,25,33,49,36
7,True,119,7,[4],[6],52,"[3, 4, 7, 9]",0.999857163262391,"[7, 10, 15, 22, 23, 26, 27, 28, 32, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 58, 59]","[5, 6, 10, 16, 16, 17, 17, 17, 20, 21, 21, 23, 25, 29, 29, 31, 32, 33, 33, 34, 35, 36, 39, 40, 40, 40, 41, 42, 43, 43, 48]",63,81,73,52,52,75,56,52,58,52
8,True,122,8,[5],[7],59,"[3, 6, 7, 8]",0.9998750156230471,"[57, 60, 61, 64, 68]","[43, 52, 54, 56, 58]",63,81,73,59,87,75,59,59,59,80
9,True,125,9,[6],[8],105,"[3, 5, 6, 7]",0.9998889012331964,"[56, 62, 63, 65, 66, 67, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 115, 116]","[43, 54, 56, 56, 57, 58, 62, 62, 63, 63, 64, 64, 66, 67, 68, 68, 69, 70, 71, 71, 72, 72, 73, 73, 74, 75, 78, 78, 79, 79, 80, 80, 81, 82, 82, 83, 84, 84, 86, 88, 88, 90, 92, 93, 94, 94, 97, 98, 98, 98, 102, 103]",111,126,116,105,122,105,105,105,106,117
10,True,126,10,[7],[9],119,"[2, 3, 6, 8]",0.9999000099990002,"[118, 119, 120, 124, 127, 130, 132, 133, 134, 135, 136]","[106, 106, 107, 110, 110, 112, 112, 112, 113, 113, 114]",134,138,119,119,132,142,119,121,119,124
11,True,151,11,[8],[10],122,"[2, 3, 6, 7]",0.9999090991728026,"[125, 126, 131, 144]","[110, 110, 112, 122]",134,138,122,122,132,142,122,122,124,124
12,True,159,12,[9],[11],125,"[2, 3, 6, 9]",0.9999166736105325,"[114, 121, 128, 129, 138, 142, 143]","[101, 108, 110, 111, 116, 121, 122]",134,138,125,125,132,142,125,134,134,125
13,True,211,13,[10],[12],126,"[2, 3, 6, 9]",0.9999230828397816,[147],[126],134,138,126,126,132,142,126,134,134,126
14,True,227,14,[11],[13],151,"[2, 3, 7, 9]",0.9999285765302479,"[139, 145, 146, 148, 151, 152, 153, 154, 158, 162, 165, 166, 168, 169, 173, 174, 175, 181]","[120, 124, 125, 127, 129, 130, 130, 130, 132, 134, 137, 138, 142, 142, 144, 145, 145, 151]",187,171,151,151,158,169,164,151,158,151
