ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50,agent_51,agent_52,agent_53,agent_54,agent_55,agent_56,agent_57,agent_58,agent_59,agent_60,agent_61,agent_62,agent_63,agent_64,agent_65,agent_66,agent_67,agent_68,agent_69,agent_70,agent_71,agent_72,agent_73,agent_74,agent_75
0,True,94,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,True,98,1,[],[0],22,[37],0.9990009990009991,"[0, 1, 2, 3, 4, 9, 10, 12, 15, 19]","[1, 2, 2, 3, 3, 5, 5, 7, 10, 12]",22,43,23,36,41,38,22,25,46,36,33,23,47,33,23,23,30,25,23,46,36,25,23,35,36,41,29,44,26,36,29,39,28,22,39,33,35,22,31,23,41,39,43,31,46,34,39,44,35,35,35,43,41,22,23,29,35,35,43,23,36,36,35,26,44,44,28,36,23,43,22,41,47,35,28
2,False,,2,[],[1],73,[12],0.9995002498750625,"[5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 70]","[3, 3, 4, 4, 7, 9, 9, 11, 11, 12, 13, 17, 17, 18, 20, 23, 23, 23, 23, 25, 25, 26, 29, 30, 31, 31, 32, 34, 34, 36, 40, 41, 42, 43, 43, 44, 46, 47, 47, 47, 47, 48, 49, 49, 50, 50, 51, 52, 53, 53, 53, 55, 55, 55, 56, 57, 61, 64]",74,87,88,74,87,84,88,81,87,88,87,74,73,87,90,87,88,87,88,73,80,87,87,87,87,84,85,80,81,88,78,87,87,87,90,84,87,73,88,88,81,80,92,87,73,87,88,87,87,88,80,74,87,80,87,82,87,87,74,87,73,87,87,87,87,87,81,82,78,74,87,76,81,87,87
3,True,106,2,[],[1],74,[72],0.6664445184938355,"[5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 69, 71, 73, 75]","[3, 3, 4, 4, 7, 9, 9, 11, 11, 12, 13, 17, 17, 18, 20, 23, 23, 23, 23, 25, 25, 26, 29, 30, 31, 31, 32, 34, 34, 36, 40, 41, 42, 43, 43, 44, 46, 47, 47, 47, 47, 48, 49, 49, 50, 50, 51, 51, 52, 53, 53, 53, 55, 55, 55, 56, 57, 62, 64, 66, 67]",93,82,81,88,82,75,81,74,82,81,81,88,82,78,80,79,81,82,82,90,87,77,80,78,79,90,76,87,74,80,86,75,81,81,75,91,79,87,83,81,74,87,83,81,90,81,82,74,82,82,87,87,79,87,74,88,79,80,88,82,81,80,82,82,81,81,74,88,86,87,82,91,74,81,82
4,True,123,3,[0],[3],87,[9],0.7498125468632841,"[67, 68, 70, 72, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]","[58, 61, 64, 64, 66, 69, 70, 71, 72, 74, 75, 77, 77, 78, 80, 80, 84, 85]",93,88,87,90,88,95,87,101,88,87,89,89,94,99,104,88,87,87,88,90,103,89,89,88,88,101,99,96,94,87,99,88,88,88,102,101,90,99,87,89,93,96,92,88,90,88,88,88,88,88,101,88,88,96,88,94,87,89,89,87,93,87,87,87,87,88,93,94,97,88,90,91,93,88,87
5,False,,3,[0],[3],94,[5],0.5998800239952009,"[67, 72, 74, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 97]","[58, 64, 66, 69, 70, 71, 72, 74, 75, 77, 77, 78, 80, 80, 84, 85, 94]",97,102,98,98,106,94,98,106,106,100,96,100,95,96,94,106,97,96,97,96,101,96,96,106,98,108,104,101,95,98,106,104,98,95,94,106,96,96,96,104,95,103,100,98,95,95,97,98,98,97,108,104,97,103,98,99,97,95,96,106,95,100,98,96,97,95,95,99,94,100,97,97,95,104,95
6,True,143,4,[1],[4],98,[64],0.6665555740709881,"[89, 90, 91, 92, 93, 94, 95, 96, 98, 99, 100]","[86, 86, 89, 90, 90, 91, 91, 94, 94, 95, 96]",101,102,100,100,106,103,100,106,109,100,99,100,103,105,107,106,99,103,98,102,110,98,98,109,100,108,107,101,102,100,106,107,107,112,108,106,101,105,102,113,102,103,103,107,102,113,98,100,103,98,108,111,100,103,98,100,98,109,101,106,102,103,100,98,98,101,102,100,103,100,100,98,102,113,114
7,True,174,5,[3],[6],106,[16],0.714183688044565,"[101, 102, 103]","[96, 99, 99]",121,119,124,118,108,121,118,107,111,118,118,118,114,117,109,108,106,118,121,117,118,127,119,111,118,118,109,125,120,118,118,109,121,114,118,107,121,117,119,121,119,117,121,117,124,121,117,118,118,106,118,119,117,121,106,117,106,112,117,117,124,117,118,106,121,121,119,124,117,123,107,118,117,121,123
8,True,196,6,[4],[7],123,[1],0.7499062617172854,"[104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 115, 116, 118]","[101, 102, 102, 105, 106, 112, 112, 113, 115, 116, 118, 119, 123]",127,123,127,124,127,126,124,127,130,124,124,127,137,124,126,126,131,125,138,136,124,127,126,126,123,123,126,127,126,126,137,126,126,129,126,127,126,127,134,123,126,127,126,123,127,123,127,126,129,131,123,123,123,137,127,123,131,131,126,136,127,123,126,126,127,126,126,127,129,125,125,123,131,123,123
9,True,242,7,[6],[8],143,[71],0.7776913676258194,"[114, 117, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 140, 144]","[117, 122, 123, 123, 123, 123, 124, 126, 126, 127, 129, 129, 129, 130, 134, 135, 143, 143]",144,143,144,158,152,159,158,155,152,154,155,153,152,144,143,152,156,154,154,152,152,152,144,155,143,143,153,146,151,152,143,152,144,152,153,161,160,153,153,154,159,146,143,152,146,155,152,152,159,154,153,145,157,152,152,145,148,160,159,152,154,154,152,151,152,144,143,160,149,154,154,143,149,155,147
