ID,confirmedBlock,confirmationTime,chainNum,orderTime,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10
0,False,,0,,[],[],0,[0],0.0,[],[],0,,,,,,,,,
1,False,,0,,[],[],0,[1],0.0,[],[],,0,,,,1,,,,
2,False,,0,,[],[],0,[2],0.0,[],[],,,0,,,,,,,
3,False,,0,,[],[],0,[3],0.0,[],[],,,,0,,,,,,
4,False,,0,,[],[],0,[4],0.0,[],[],,,,,0,,,,,
5,False,,0,,[],[],0,[5],0.0,[],[],,1,,,,0,,,,
6,False,,0,,[],[],0,[6],0.0,[],[],,,,,,,0,,,
7,False,,0,,[],[],0,[7],0.0,[],[],,,,,,,,0,,
8,False,,0,,[],[],0,[8],0.0,[],[],,,,,,,,,0,
9,False,,0,,[],[],0,[9],0.0,[],[],,,,,,,,,,0
10,False,,0,,[],"[1, 5]",7,"[1, 5]",0.19998000199980004,"[2, 11, 12]","[2, 7, 7]",,7,,,,7,,,,
11,False,,0,,[],[10],23,"[1, 5]",0.2727024815925825,"[20, 26, 27]","[13, 23, 23]",,23,,,,23,,,,
