ID,confirmedBlock,confirmationTime,chainNum,confirmed_blocks,tips,arrival_time,agent,adoption_rate,block_transactions,transaction_creation_time,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9,agent_10,agent_11,agent_12,agent_13,agent_14,agent_15,agent_16,agent_17,agent_18,agent_19,agent_20,agent_21,agent_22,agent_23,agent_24,agent_25,agent_26,agent_27,agent_28,agent_29,agent_30,agent_31,agent_32,agent_33,agent_34,agent_35,agent_36,agent_37,agent_38,agent_39,agent_40,agent_41,agent_42,agent_43,agent_44,agent_45,agent_46,agent_47,agent_48,agent_49,agent_50
0,False,,0,[],[],0,[0],0.0,[],[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,False,,1,[],[0],2,"[17, 20, 21, 39]",0.9990009990009991,[3],[2],,,,,,,43,,,,43,,,,,,,2,,,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
2,False,,1,[],[0],4,"[6, 10, 17, 20, 21, 39]",0.49975012493753124,[11],[4],,,,,,,4,,,,4,,,,,,,4,,,4,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
3,False,,1,[],[0],5,"[3, 41, 43]",0.33322225924691773,[14],[5],,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,,,,,
4,False,,2,[],[2],6,"[6, 10, 17, 20, 21, 39]",0.4998750312421894,[19],[6],,,,,,,6,,,,6,,,,,,,6,,,6,6,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
5,False,,1,[],[0],9,"[1, 5, 28, 47]",0.1999600079984003,"[21, 22]","[9, 9]",,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,9,,
6,False,,3,[],[4],12,"[6, 10, 17, 20, 21, 39]",0.4999166805532411,[28],[12],,,,,,,12,,,,12,,,,,,,12,,,12,12,,,,,,,,,,,,,,,,,,12,,,,,,,,,,
7,False,,1,[],[0],13,"[29, 35, 37]",0.142836737608913,[30],[13],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,13,,13,,,,,,,,,,,,
8,False,,1,[],[0],21,"[2, 18, 25]",0.1249843769528809,[42],[21],,,21,,,,,,,,,,,,,,,,21,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,
9,False,,4,[],[6],21,"[6, 10, 17, 20, 21, 39]",0.44439506721475397,[41],[21],,,,,,,21,,,,21,,,,,,,21,,,21,21,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
10,False,,2,[],[8],22,"[2, 18, 25]",0.19998000199980004,[44],[22],,,22,,,,,,,,,,,,,,,,22,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,
11,False,,2,[],[5],22,"[5, 28, 47]",0.181801654395055,[45],[22],,43,,,,22,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22,,
12,False,,5,[],[9],22,"[6, 10, 17, 20, 21, 39]",0.41663194733772185,[43],[22],,,,,,,22,,,,22,,,,,,,22,,,22,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
13,False,,2,[],[3],24,"[3, 41, 43]",0.15383432043688947,[50],[24],,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,,,,,
14,False,,6,[],[12],25,"[10, 17, 20, 21, 39]",0.4285408185129634,[53],[25],,,,,,,43,,,,25,,,,,,,25,,,25,25,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
15,False,,1,[],[0],26,"[9, 16, 34]",0.06666222251849876,[56],[26],,,,,,,,,,26,,,,,,,26,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,
16,False,,2,[],[7],26,"[29, 35, 37]",0.12499218798825072,[57],[26],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,26,,26,,,,,,,,,,,,
17,False,,1,[],[0],27,"[24, 44, 46]",0.0588200694076819,[61],[27],,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,27,,27,,,
18,False,,3,[],[13],29,"[3, 41, 43]",0.1666574079217821,[66],[29],,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,29,,,,,,
19,False,,2,[],[17],29,"[24, 44, 46]",0.1052576180201042,[67],[29],,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,29,,29,,,
20,False,,7,[],[14],38,"[10, 17, 20, 21]",0.34998250087495625,[81],[38],,,,,,,43,,,,38,,,,,,,38,,,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,False,,3,[],[19],43,"[24, 44, 46]",0.14285034045997808,"[2, 7, 12, 17, 89]","[1, 2, 4, 6, 43]",,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,43,,43,,,
22,False,,3,[],[16],43,"[29, 35, 37]",0.13635743829825916,"[15, 16, 18, 39, 47, 55, 75, 82]","[5, 6, 6, 18, 24, 25, 34, 39]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,43,,43,,,,,,,,,,,,
